,gesamtmiete,pred
6046,440.0,482.3
3171,470.0,417.5
9815,550.0,547.9
2462,795.0,668.9
10273,450.0,427.0
10240,400.0,398.1
4835,450.0,458.8
5461,525.0,431.3
702,600.0,536.5
4592,700.0,594.2
5452,380.0,381.6
12596,400.0,443.2
9649,395.0,498.4
8411,450.0,389.5
8695,400.0,464.2
9434,324.0,374.4
197,695.0,612.0
2094,400.0,433.3
656,342.0,453.2
12557,400.0,421.8
12009,530.0,456.7
14047,843.0,653.1
5736,420.0,392.5
10071,330.0,391.9
1852,753.0,527.2
10077,400.0,481.0
12052,480.0,422.7
2710,750.0,530.8
7050,420.0,498.2
5207,554.0,484.7
1123,560.0,619.0
3122,650.0,604.2
14377,400.0,375.4
12044,690.0,522.7
9003,395.0,406.1
3787,600.0,575.4
5817,450.0,417.7
3654,430.0,480.6
12949,460.0,445.7
6029,450.0,411.6
7970,440.0,443.3
8853,650.0,635.4
1503,650.0,509.4
7478,500.0,537.8
11433,250.0,445.6
410,490.0,510.7
8997,600.0,447.5
3129,304.0,367.6
389,410.0,524.2
10771,300.0,467.2
13258,265.0,327.4
2378,750.0,608.5
12950,240.0,346.6
9840,330.0,485.2
509,900.0,847.7
6132,422.0,413.8
3330,510.0,431.5
3708,850.0,614.4
13275,459.0,452.1
13483,400.0,511.6
8936,550.0,576.9
311,500.0,467.6
7298,323.0,536.9
13147,500.0,538.3
4071,490.0,424.1
12538,460.0,485.2
12348,440.0,431.6
1750,700.0,589.5
402,565.0,608.6
3205,290.0,420.5
1688,250.0,477.3
1251,590.0,569.2
7047,530.0,594.2
3036,500.0,611.6
5078,440.0,465.5
12433,270.0,484.1
143,510.0,522.0
10680,760.0,507.9
5728,500.0,537.6
4245,550.0,464.5
9577,650.0,666.0
10582,719.0,567.6
9061,450.0,395.9
13021,580.0,628.7
2124,450.0,424.9
12445,490.0,458.4
14399,528.0,446.6
12534,430.0,432.5
7951,700.0,374.1
1169,450.0,452.2
7633,450.0,511.5
14343,499.0,550.0
9268,530.0,473.5
4764,730.0,716.4
3992,490.0,491.8
6250,435.0,414.1
4502,540.0,561.4
3730,537.0,532.9
1517,325.0,549.8
9802,450.0,412.5
4049,530.0,477.9
2712,420.0,483.4
7659,350.0,308.3
10508,360.0,391.4
7173,970.0,731.6
71,560.0,545.2
1709,391.0,525.0
2227,730.0,723.2
6910,900.0,667.7
3673,200.0,482.6
13684,580.0,546.5
8788,550.0,574.1
782,670.0,575.1
12330,350.0,471.9
1206,430.0,389.3
9234,300.0,424.2
1524,475.0,532.4
12238,420.0,582.2
12966,425.0,440.3
13422,450.0,442.4
3972,420.0,430.1
6208,325.0,386.9
511,720.0,558.8
13425,515.0,587.8
2102,450.0,562.4
3376,545.0,483.1
14069,840.0,669.4
1070,391.0,407.0
3907,600.0,554.9
11822,750.0,693.4
5868,400.0,410.7
669,351.0,351.5
7554,560.0,555.9
2407,300.0,483.6
13948,520.0,401.6
12114,460.0,471.2
1329,500.0,465.1
12324,470.0,517.6
13474,360.0,386.9
5448,385.0,423.9
4837,595.0,507.8
2829,486.0,473.3
5891,480.0,528.9
14267,455.0,443.2
2490,320.0,383.0
4259,404.0,345.8
3576,915.0,602.4
11529,500.0,621.6
7634,380.0,394.2
8843,450.0,551.5
9554,380.0,444.2
10566,740.0,695.1
13211,400.0,428.1
10764,650.0,473.6
9491,500.0,485.7
3602,620.0,602.5
11835,478.0,460.0
14072,650.0,555.1
3699,401.0,447.4
6473,390.0,446.8
3024,475.0,430.9
10146,570.0,564.9
12209,410.0,427.5
7821,600.0,541.9
9724,295.0,368.6
2809,470.0,438.7
9403,540.0,447.2
3456,549.0,426.4
7297,870.0,739.5
1570,630.0,574.6
8948,600.0,532.9
7958,660.0,470.1
1378,540.0,501.2
4882,494.0,516.1
3055,350.0,405.0
4729,350.0,449.3
5072,610.0,399.7
9627,337.0,401.2
2701,500.0,389.0
5048,500.0,518.2
12207,453.0,408.3
11817,495.0,489.1
7728,475.0,469.2
9851,520.0,486.5
1511,640.0,603.5
6772,320.0,484.3
13656,428.0,559.2
92,536.0,495.0
6832,535.0,577.2
7012,500.0,467.0
13356,375.0,527.1
13195,470.0,461.5
7226,700.0,544.1
225,340.0,325.5
7244,650.0,622.5
8804,550.0,551.6
6533,450.0,500.8
9354,575.0,552.4
12715,400.0,372.6
11340,380.0,374.5
7232,520.0,524.0
4863,550.0,500.8
13169,350.0,452.1
249,675.0,590.9
5765,450.0,525.1
13036,640.0,637.0
7830,430.0,439.5
11456,449.0,502.1
8465,420.0,395.6
1710,650.0,530.3
3300,500.0,521.4
11341,330.0,473.3
14225,500.0,446.6
12367,430.0,381.2
10438,590.0,538.4
4418,500.0,583.1
2521,550.0,543.5
3186,400.0,466.4
9664,616.0,617.7
724,425.0,449.1
3556,900.0,569.6
6562,385.0,387.6
7583,364.0,403.2
12297,582.0,450.8
2445,450.0,475.9
13282,555.0,560.4
630,350.0,286.8
3337,550.0,510.1
10275,600.0,492.7
766,520.0,425.5
13004,350.0,429.5
7581,310.0,366.3
4931,480.0,499.9
8296,330.0,424.6
2225,780.0,768.0
7396,502.0,452.6
13428,450.0,501.0
3945,530.0,419.2
1971,390.0,467.1
12512,300.0,351.0
12813,455.0,500.2
12017,504.0,524.5
6699,480.0,528.6
14410,450.0,546.4
7493,340.0,372.8
2593,480.0,492.5
10230,400.0,421.9
13013,550.0,628.3
4528,460.0,507.3
10407,545.0,494.7
3489,590.0,589.8
7182,700.0,583.7
8275,525.0,500.1
6583,414.0,546.8
3220,400.0,465.5
4499,600.0,548.2
828,500.0,438.0
1916,650.0,554.8
13002,549.0,545.0
1749,650.0,487.7
4316,600.0,613.2
7107,400.0,390.8
12337,530.0,527.6
1446,490.0,439.7
541,900.0,682.0
13945,380.0,404.3
8537,320.0,357.9
3006,510.0,493.5
8376,238.0,409.7
12777,610.0,674.1
2640,550.0,494.3
10681,340.0,472.1
6524,310.0,354.3
357,350.0,408.5
12113,320.0,596.6
5473,550.0,553.5
7341,245.0,319.3
14227,420.0,489.4
14241,690.0,594.0
9596,660.0,515.8
3125,410.0,437.3
8890,670.0,605.5
11016,280.0,341.8
1418,600.0,495.6
6504,500.0,453.9
11092,321.0,330.1
12676,425.0,587.2
1445,595.0,580.2
1263,600.0,599.5
3725,510.0,506.9
2608,562.0,582.9
8023,469.0,407.8
1600,500.0,492.9
14068,525.0,475.1
9270,506.0,618.9
4331,800.0,581.2
125,535.0,421.7
3856,548.0,539.8
882,427.0,532.2
10660,500.0,623.8
11585,586.0,611.4
7655,445.0,473.4
6453,250.0,286.6
8962,415.0,422.9
1103,440.0,436.5
11392,450.0,518.8
2038,490.0,552.9
3450,550.0,449.0
13717,520.0,491.3
6610,480.0,413.3
2595,650.0,557.8
2322,465.0,497.5
719,550.0,450.4
7071,550.0,576.7
8746,570.0,589.9
14345,320.0,394.7
12036,500.0,471.3
6382,555.0,549.3
10533,400.0,390.0
14548,450.0,402.5
10989,530.0,496.7
9007,430.0,445.0
7248,500.0,608.1
5015,550.0,613.3
11591,400.0,541.0
775,600.0,586.4
154,650.0,609.0
2287,500.0,549.6
1575,495.0,421.3
29,660.0,663.8
6799,400.0,489.0
13929,903.0,631.9
8987,500.0,460.5
9738,650.0,636.2
13671,460.0,437.2
4860,450.0,585.9
12402,410.0,442.9
9353,490.0,489.3
10877,520.0,534.5
4059,520.0,492.3
9332,325.0,354.9
566,360.0,383.5
149,540.0,499.8
9243,535.0,514.7
2778,450.0,478.5
2191,620.0,599.4
10935,410.0,415.9
3031,440.0,446.7
13055,750.0,620.0
12227,500.0,457.6
818,338.0,374.7
5462,342.0,407.9
2369,600.0,534.7
14275,621.0,527.5
10633,560.0,562.3
2514,995.0,765.3
10579,470.0,502.0
10725,475.0,493.9
720,490.0,442.5
7682,500.0,491.7
1459,584.0,513.3
12541,250.0,330.6
14152,450.0,422.5
5627,675.0,596.5
116,700.0,568.6
9452,280.0,404.3
740,540.0,440.8
6140,330.0,433.7
1362,550.0,492.8
12111,500.0,554.9
7123,470.0,597.5
9770,415.0,479.4
6491,390.0,457.6
12807,450.0,496.4
13827,420.0,491.9
7650,439.0,411.9
1531,600.0,664.3
7907,310.0,371.5
11428,275.0,353.8
2967,500.0,516.2
3791,550.0,535.0
12698,462.0,379.2
9418,460.0,422.8
3203,500.0,426.2
8508,390.0,418.3
7782,380.0,467.7
13814,580.0,549.5
8383,650.0,561.0
7839,440.0,408.1
11906,375.0,428.3
5687,600.0,519.4
11082,360.0,308.3
13385,395.0,401.4
9992,250.0,415.7
1080,470.0,446.3
7621,555.0,546.8
4579,350.0,525.0
9799,300.0,452.6
12145,500.0,513.4
4197,360.0,376.3
12904,675.0,543.4
6044,365.0,376.7
12533,430.0,397.3
4046,515.0,514.6
6241,400.0,449.4
4692,560.0,593.0
238,700.0,613.6
4894,750.0,619.4
12487,245.0,241.0
7352,420.0,454.0
3743,510.0,509.5
11939,400.0,573.3
5345,450.0,560.0
11847,560.0,485.1
7850,370.0,382.5
8178,490.0,530.6
10015,350.0,428.4
2890,350.0,413.2
6376,530.0,451.1
12894,370.0,454.9
8081,430.0,418.2
10155,380.0,471.9
7422,450.0,415.3
2075,590.0,526.6
10108,650.0,556.8
9499,370.0,543.9
12460,525.0,390.2
11120,325.0,459.0
3012,408.0,440.2
12240,450.0,548.6
13798,450.0,443.7
8306,450.0,605.2
7751,498.0,414.8
11821,525.0,455.3
1059,500.0,517.1
1510,700.0,529.9
12780,450.0,492.8
8877,535.0,525.2
14136,460.0,440.8
1109,500.0,487.2
11794,420.0,430.3
5734,420.0,549.9
7036,450.0,477.1
5717,180.0,426.9
6315,518.0,494.4
12800,250.0,425.4
9393,500.0,758.7
10151,340.0,417.9
2551,300.0,589.8
6360,480.0,407.7
13261,405.0,442.2
13884,385.0,355.8
11679,500.0,401.0
9790,490.0,390.3
6307,450.0,559.2
5824,383.0,452.0
14357,570.0,597.1
8073,448.0,446.5
13040,590.0,573.0
5413,275.0,408.7
1139,395.0,485.6
10971,280.0,458.5
2193,540.0,490.0
1086,470.0,441.0
9038,345.0,397.3
8932,723.0,731.6
871,450.0,530.7
2403,460.0,571.1
12973,510.0,464.8
3949,400.0,400.3
1065,365.0,385.1
5211,423.0,469.9
7765,450.0,372.6
4408,400.0,429.1
12156,300.0,516.5
3226,535.0,431.0
1757,650.0,648.1
11656,420.0,430.6
8146,410.0,462.1
10096,400.0,409.4
4522,650.0,605.4
14091,499.0,462.6
13449,395.0,447.8
7856,350.0,454.6
12684,400.0,463.7
6580,500.0,524.4
5237,620.0,536.6
11083,440.0,503.2
13240,500.0,564.0
8874,335.0,422.2
10237,439.0,402.6
11064,400.0,379.9
2095,600.0,542.1
3724,510.0,506.9
797,595.0,552.4
10059,460.0,433.7
9109,330.0,485.4
12831,365.0,469.3
12839,430.0,414.4
14121,450.0,488.6
11298,470.0,376.2
6372,450.0,549.0
1857,350.0,439.7
3120,429.0,373.0
5613,450.0,588.5
6647,450.0,543.7
5047,440.0,411.0
3759,486.0,485.1
13900,465.0,503.9
3710,830.0,700.4
5775,595.0,619.0
11196,430.0,394.0
10396,400.0,400.8
13932,400.0,423.5
2908,430.0,425.2
12787,570.0,484.5
2045,567.0,539.7
10316,380.0,485.5
12511,250.0,265.0
12201,600.0,590.6
490,350.0,413.1
1466,500.0,387.9
12010,575.0,467.3
8640,330.0,410.1
11748,450.0,466.8
1655,620.0,527.1
12471,375.0,399.5
10530,429.0,464.9
350,510.0,524.0
658,860.0,616.1
9665,430.0,495.3
9099,500.0,412.5
2946,590.0,512.5
6694,391.0,409.8
4675,395.0,387.1
13246,742.0,611.5
9857,365.0,404.4
8285,500.0,457.3
9981,500.0,492.7
5197,600.0,487.3
9336,435.0,433.4
8387,311.0,370.0
8864,500.0,501.7
10277,420.0,448.6
652,430.0,457.6
8054,550.0,426.2
13859,465.0,547.0
738,360.0,286.1
1588,610.0,528.3
11525,350.0,475.8
11661,600.0,469.0
1577,590.0,535.7
4189,630.0,501.8
4886,680.0,556.9
9430,364.0,429.6
3449,415.0,463.3
9463,410.0,442.2
1865,371.0,452.8
7945,350.0,360.6
5643,690.0,653.0
7647,450.0,397.0
4015,390.0,375.7
12480,500.0,437.1
8808,469.0,454.7
10021,550.0,417.4
1286,590.0,569.2
10472,650.0,429.4
12139,350.0,438.1
6561,485.0,507.5
14195,680.0,647.9
13188,550.0,472.3
7150,518.0,497.6
5610,575.0,540.7
7742,420.0,448.4
3049,570.0,482.8
14371,400.0,433.0
1559,500.0,531.0
13358,800.0,577.9
1668,580.0,557.6
1257,510.0,489.4
8332,480.0,445.6
4647,550.0,566.2
13957,500.0,475.3
498,400.0,649.9
10992,550.0,470.7
1720,467.0,494.9
1717,560.0,538.9
3677,430.0,579.6
3224,600.0,500.8
11237,380.0,445.9
4404,600.0,560.6
1954,820.0,643.2
13424,555.0,546.4
11227,595.0,526.8
1395,750.0,547.5
4186,650.0,523.8
10790,373.0,433.4
8652,500.0,484.2
9613,550.0,436.4
5389,550.0,413.0
975,427.0,469.9
10148,435.0,368.2
7695,350.0,421.3
11695,425.0,423.5
3431,492.0,467.9
6795,200.0,346.4
4010,310.0,375.8
2344,537.0,504.7
11358,510.0,469.9
2951,508.0,494.2
5703,780.0,696.3
13938,500.0,469.8
7204,350.0,392.9
13163,560.0,402.0
5783,350.0,413.9
10380,510.0,463.4
3672,430.0,428.5
9614,570.0,489.2
808,550.0,541.4
13116,490.0,462.0
3842,448.0,463.2
2477,400.0,570.5
597,630.0,575.3
7665,480.0,465.2
13954,460.0,459.6
12806,650.0,549.0
11158,720.0,632.0
12404,730.0,598.7
3679,550.0,538.2
1558,550.0,501.6
4648,650.0,550.5
7912,310.0,340.5
2455,840.0,606.7
10706,440.0,457.1
3591,550.0,626.4
10613,400.0,492.6
2325,450.0,475.3
12470,329.0,319.9
11916,660.0,581.3
10948,330.0,365.2
7262,500.0,551.2
2127,390.0,452.5
2961,550.0,488.9
13950,530.0,405.4
930,482.0,498.8
11193,600.0,516.8
13766,390.0,456.2
7859,370.0,424.8
5831,575.0,521.5
10997,570.0,477.6
8830,330.0,352.9
8152,410.0,413.9
7534,415.0,414.5
5400,750.0,564.3
12754,480.0,493.8
8455,550.0,524.3
12013,470.0,494.3
10052,600.0,562.9
3914,450.0,492.6
9140,550.0,479.4
10193,415.0,433.8
846,590.0,569.4
728,750.0,565.9
5681,500.0,476.7
8072,490.0,441.5
9877,510.0,468.7
1566,645.0,534.4
1697,400.0,473.4
281,800.0,637.5
3038,410.0,502.3
13355,467.0,508.7
12699,525.0,522.3
14118,584.0,689.0
11802,540.0,607.2
12081,570.0,575.3
6066,400.0,428.7
12234,450.0,474.3
11926,640.0,588.9
4666,463.0,581.0
8269,680.0,675.2
11991,680.0,491.1
6332,600.0,546.0
7346,678.0,609.7
9278,560.0,460.1
3018,475.0,355.2
3996,550.0,476.1
13329,520.0,455.1
7206,500.0,590.2
10184,315.0,402.6
9874,590.0,528.4
8518,313.0,372.6
2570,564.0,502.3
11576,360.0,424.9
3429,570.0,478.4
2988,440.0,509.4
2002,539.0,522.5
8181,375.0,426.3
8569,350.0,402.4
9510,454.0,466.9
1095,325.0,425.8
7259,400.0,442.5
2997,460.0,426.7
7520,380.0,526.2
11077,480.0,533.4
10674,400.0,465.6
1336,600.0,468.3
2319,660.0,581.0
11184,435.0,409.0
7611,475.0,424.8
821,380.0,615.7
9358,350.0,527.1
11723,600.0,565.0
9349,650.0,597.6
5973,465.0,473.5
8749,450.0,502.5
10493,460.0,402.5
12852,500.0,565.6
7960,350.0,339.4
11993,475.0,437.8
1746,600.0,521.6
355,690.0,549.8
13396,567.0,635.8
10640,555.0,494.2
9696,455.0,528.4
4020,550.0,490.2
8704,565.0,496.3
3232,380.0,404.9
0,540.0,468.2
12812,550.0,646.0
11767,425.0,429.2
14333,421.0,524.7
8772,500.0,489.6
8265,485.0,435.8
3253,600.0,501.2
11119,540.0,465.1
5474,600.0,529.5
14340,400.0,412.5
11224,350.0,367.1
7101,690.0,563.7
1841,525.0,584.9
7192,420.0,471.4
9117,700.0,709.0
11974,710.0,615.3
1180,470.0,578.3
11698,450.0,535.7
7797,425.0,460.2
4294,415.0,464.1
7431,590.0,460.1
3275,450.0,381.7
3939,650.0,536.3
9263,300.0,402.9
5779,530.0,644.9
11345,490.0,387.5
13584,350.0,468.5
13966,400.0,405.0
10267,500.0,596.1
9472,655.0,599.9
7840,367.0,358.8
6273,480.0,502.5
6207,380.0,458.0
2964,440.0,426.1
11417,427.0,538.6
13872,480.0,456.7
11918,380.0,428.7
12525,235.0,273.0
446,700.0,738.2
7888,550.0,530.6
2149,557.0,652.0
11050,400.0,478.7
4601,510.0,486.0
11884,590.0,587.0
6936,550.0,477.4
2260,540.0,477.7
2816,480.0,444.2
10065,500.0,549.7
8571,390.0,396.3
3463,550.0,499.4
243,435.0,419.8
6598,200.0,470.4
4721,450.0,570.3
10300,455.0,514.6
11212,386.0,525.4
2062,658.0,622.1
12358,430.0,449.4
9884,550.0,476.6
12353,460.0,448.7
11044,315.0,302.0
12888,350.0,424.6
7340,310.0,349.2
9809,560.0,489.5
7734,455.0,457.5
13862,520.0,417.2
5543,490.0,483.3
10147,310.0,369.0
11785,599.0,598.3
2531,500.0,515.6
12393,600.0,596.6
4309,720.0,513.6
2456,620.0,574.3
1265,595.0,526.7
13575,400.0,415.5
2155,680.0,553.4
4358,810.0,677.4
2902,420.0,422.5
10620,775.0,637.8
8467,500.0,485.2
4726,700.0,555.2
11049,310.0,407.6
727,466.0,512.2
345,405.0,468.4
5675,590.0,540.2
1300,500.0,545.6
11876,570.0,572.2
11933,500.0,471.8
5704,685.0,517.7
14070,623.0,618.2
4861,560.0,549.1
2641,650.0,552.6
13626,383.0,448.8
9876,450.0,418.4
14534,510.0,567.9
10918,510.0,498.0
6157,400.0,432.2
5577,550.0,544.9
4244,550.0,478.4
13343,600.0,526.2
12820,510.0,472.3
7279,590.0,540.1
6897,610.0,556.0
10067,385.0,407.5
481,663.0,668.4
8076,470.0,536.7
7103,695.0,605.8
1773,700.0,538.5
4481,900.0,714.0
7433,570.0,428.9
4276,645.0,590.1
3781,690.0,634.0
10569,640.0,626.1
10560,760.0,716.1
5696,600.0,596.6
2169,335.0,417.1
4530,350.0,444.4
1824,525.0,390.4
889,553.0,531.7
2784,464.0,556.4
4533,400.0,476.2
2376,550.0,498.2
5166,580.0,536.8
6227,300.0,355.9
3625,770.0,601.2
12412,480.0,532.1
681,500.0,546.2
1019,390.0,448.4
6756,395.0,400.8
11871,390.0,469.4
6728,380.0,443.1
1626,550.0,579.1
4539,411.0,493.3
3136,800.0,435.4
1237,640.0,580.1
8671,367.0,407.8
1262,650.0,668.4
4122,510.0,508.1
13159,350.0,453.9
5872,490.0,450.5
43,1050.0,707.6
898,437.0,538.4
7565,313.0,442.5
12508,280.0,340.1
763,440.0,455.2
12610,490.0,461.4
945,351.0,339.1
13268,430.0,546.3
4717,600.0,544.5
13985,480.0,501.7
414,550.0,643.1
10218,550.0,469.4
10799,425.0,532.3
11565,310.0,453.1
6681,490.0,387.4
6739,450.0,449.9
4119,550.0,491.6
7549,350.0,394.3
8929,700.0,474.0
8131,600.0,562.9
9391,390.0,463.7
6802,430.0,402.3
12495,570.0,568.2
6015,645.0,576.1
4346,540.0,620.0
12859,500.0,588.6
8389,380.0,377.3
7128,690.0,653.5
9730,450.0,485.2
11160,435.0,507.4
1889,530.0,435.0
4009,470.0,561.8
5471,770.0,565.7
10819,350.0,319.1
13097,530.0,468.9
7231,450.0,525.6
11466,650.0,471.0
5367,387.0,457.4
2433,387.0,374.8
9844,500.0,541.2
135,750.0,564.8
1435,500.0,490.2
9552,500.0,449.0
1960,600.0,600.9
1962,585.0,471.0
2985,400.0,448.9
1645,450.0,470.6
811,345.0,311.4
5288,585.0,536.3
5892,470.0,489.0
13165,380.0,432.8
10979,408.0,403.9
13722,590.0,561.0
13468,417.0,421.9
10731,408.0,408.4
4510,390.0,498.1
35,390.0,436.5
10027,500.0,573.1
9424,750.0,644.5
4612,690.0,583.7
3849,400.0,433.2
5782,495.0,560.6
1385,790.0,760.4
4985,400.0,536.9
1914,480.0,478.9
14391,465.0,415.7
8696,475.0,405.6
6279,610.0,562.9
11394,472.0,377.1
1665,360.0,509.2
1617,820.0,667.4
14336,600.0,497.5
2340,530.0,520.8
7211,571.0,459.4
4883,410.0,372.1
5985,525.0,537.5
11140,400.0,402.2
4911,620.0,705.0
7250,630.0,673.7
955,460.0,482.9
9918,400.0,552.9
12395,650.0,601.4
3274,423.0,433.7
2233,450.0,483.9
13415,520.0,447.0
13583,282.0,319.6
583,357.0,479.5
12075,400.0,372.4
10072,500.0,325.7
12220,400.0,428.2
8529,580.0,380.7
4573,700.0,633.9
13390,370.0,407.8
13187,390.0,483.0
4125,480.0,488.5
9409,535.0,373.4
12473,230.0,291.5
3341,500.0,618.7
8132,350.0,354.8
5651,410.0,353.5
473,663.0,702.7
3121,500.0,452.7
3000,550.0,469.7
5691,411.0,588.2
9564,470.0,509.1
2984,495.0,438.5
7930,320.0,295.2
5733,590.0,513.4
4381,500.0,539.9
3933,430.0,451.4
2423,397.0,506.8
9674,380.0,489.0
8706,790.0,398.4
9559,699.0,708.1
14470,650.0,437.1
792,420.0,365.1
13970,480.0,412.2
6341,335.0,377.1
255,700.0,694.2
824,640.0,489.1
1592,580.0,551.4
9359,680.0,684.5
131,590.0,656.5
964,450.0,467.6
9854,550.0,477.8
10214,380.0,392.6
4656,780.0,616.7
7645,490.0,435.7
4559,410.0,395.5
13043,341.0,407.7
1712,689.0,672.0
12927,440.0,394.9
3452,350.0,461.6
10318,450.0,454.8
9599,545.0,525.4
11949,440.0,432.9
10621,535.0,536.3
2732,420.0,436.3
9872,500.0,528.3
12902,256.0,361.8
4927,338.0,414.5
13203,450.0,455.9
4402,580.0,600.4
1649,535.0,513.5
11713,425.0,450.2
107,500.0,663.9
12040,250.0,407.4
10483,350.0,401.5
10589,653.0,575.0
10478,430.0,423.6
4347,870.0,602.0
4097,520.0,526.7
6489,250.0,384.3
9757,400.0,544.9
202,481.0,554.4
5433,400.0,462.5
12429,700.0,597.3
12205,420.0,458.3
12879,470.0,461.4
11011,550.0,477.4
6609,360.0,375.4
1430,1120.0,568.3
6009,350.0,441.4
2574,580.0,567.3
2738,320.0,394.4
294,570.0,641.2
14082,500.0,597.8
4980,600.0,689.9
8063,435.0,424.4
4075,380.0,401.9
6983,328.0,381.8
4582,980.0,575.7
12885,520.0,575.6
9980,480.0,467.7
542,580.0,539.0
505,625.0,626.1
4634,645.0,540.2
4077,380.0,363.8
6249,400.0,428.9
1738,550.0,566.8
2485,642.0,591.4
8074,406.0,401.2
9365,545.0,515.0
2692,548.0,533.9
6051,595.0,582.0
3177,450.0,464.8
5053,800.0,546.8
13377,350.0,268.2
1096,500.0,504.1
14521,530.0,393.3
12564,520.0,571.8
3283,320.0,367.1
6669,300.0,383.0
8675,500.0,509.9
10596,415.0,536.5
4515,580.0,552.4
8457,400.0,486.0
14412,650.0,504.1
12738,400.0,388.3
10299,600.0,603.2
2841,450.0,453.7
11255,450.0,448.4
8621,750.0,663.3
3495,590.0,589.8
1460,640.0,568.9
13534,510.0,479.8
10923,600.0,582.4
1527,350.0,467.4
549,900.0,804.8
870,570.0,553.1
9186,600.0,593.0
8789,365.0,404.6
10025,530.0,589.3
2093,520.0,475.2
8906,350.0,469.9
9088,470.0,492.6
5434,630.0,548.5
1628,435.0,503.3
10628,455.0,435.4
11790,660.0,579.8
2836,460.0,480.9
5454,690.0,547.5
8595,360.0,394.3
2764,378.0,375.7
10623,700.0,587.5
13907,385.0,501.0
10295,295.0,536.8
1069,435.0,490.7
9996,359.0,443.6
6128,460.0,443.3
3818,515.0,521.6
5937,300.0,398.6
7766,450.0,527.2
4305,560.0,633.2
11406,350.0,418.5
218,550.0,444.0
4338,600.0,562.3
9379,510.0,450.3
12287,520.0,498.3
4636,360.0,496.0
6891,410.0,463.2
6957,330.0,456.4
3946,340.0,344.5
12744,560.0,542.9
3208,595.0,437.3
3863,345.0,390.6
11125,500.0,406.1
13267,660.0,494.2
10085,500.0,468.7
4057,365.0,534.6
4388,650.0,524.1
6116,375.0,341.8
14457,650.0,549.6
6766,390.0,472.1
13233,498.0,455.6
8136,570.0,491.9
4315,650.0,641.0
9467,523.0,514.4
14108,530.0,605.0
6924,570.0,438.0
2388,550.0,504.1
2870,345.0,314.6
4855,630.0,533.8
6529,450.0,376.2
55,520.0,515.7
5708,580.0,577.2
13138,535.0,506.9
11681,600.0,519.9
4807,700.0,635.2
13301,470.0,495.3
6630,450.0,458.9
6679,350.0,355.7
11736,634.0,572.7
688,625.0,566.2
11030,530.0,457.0
1838,551.0,502.7
4227,350.0,452.1
14303,500.0,552.6
5851,430.0,411.1
8978,535.0,524.9
1167,380.0,396.9
4905,545.0,558.3
7242,565.0,554.2
545,360.0,326.8
629,450.0,476.9
256,600.0,568.0
3608,620.0,602.5
5642,690.0,653.0
11827,700.0,668.8
7805,495.0,499.2
2410,830.0,707.1
11454,400.0,430.1
13297,500.0,415.0
6082,525.0,563.3
1576,460.0,544.8
6014,320.0,443.5
11078,430.0,456.9
8578,340.0,410.1
12319,501.0,528.3
9714,750.0,656.9
12549,300.0,403.8
4080,355.0,392.7
191,325.0,334.5
13048,500.0,401.2
486,663.0,643.1
13283,500.0,415.0
623,670.0,625.5
6358,450.0,559.5
3470,550.0,530.9
12056,600.0,628.6
7257,505.0,534.7
10785,300.0,361.3
6640,440.0,425.1
12193,550.0,524.1
638,300.0,511.1
3646,425.0,467.1
6339,589.0,597.7
878,630.0,545.9
605,510.0,553.9
7347,390.0,369.7
8173,530.0,473.5
2545,495.0,456.1
11421,371.0,491.5
13420,360.0,529.2
6750,410.0,366.5
12843,460.0,473.4
937,466.0,481.4
210,580.0,530.9
1701,430.0,500.8
3103,325.0,395.3
8128,560.0,480.5
8832,750.0,600.7
6495,465.0,487.9
13802,380.0,396.9
7118,500.0,517.6
9335,500.0,508.0
14339,511.0,529.2
5871,370.0,417.7
12708,430.0,437.1
7098,540.0,635.3
13646,550.0,523.7
12903,370.0,465.8
2872,570.0,491.4
8090,360.0,444.1
1433,475.0,381.3
2858,340.0,450.0
12627,460.0,444.5
10445,271.0,323.2
